KI	Trl	Block	Trl/Bl	Crit	Sex	Emo	PicID	Cue	StimPos	RT	Ans	Correct
12	1	1	1	0	f	n	18	left	left	3.1930000782	2	1
12	2	1	2	0	m	n	71	right	right	2.97499990463	1	1
12	3	1	3	0	m	n	36	left	left	2.50699996948	2	0
12	4	1	4	0	m	n	24	left	left	4.22799992561	2	0
12	5	1	5	0	m	n	23	right	left	2.02800011635	1	1
12	6	1	6	0	f	n	01	left	right	1.74000000954	1	0
12	7	1	7	0	f	n	12	right	right	2.89599990845	2	1
12	8	1	8	0	m	n	10	right	right	3.25999999046	1	1
12	9	1	9	0	f	n	32	left	left	1.89800000191	2	1
12	10	1	10	0	f	n	31	right	right	3.46900010109	2	1
12	11	1	1	0	m	n	38	left	left	1.53799986839	1	1
12	12	1	2	0	f	n	32	right	left	2.23700022697	2	1
12	13	1	3	0	f	n	04	left	left	4.60400009155	2	1
12	14	1	4	0	m	n	38	right	right	3.44800019264	4	NA
12	15	1	5	0	m	n	05	right	right	4.18700003624	2	0
12	16	1	6	0	m	n	47	right	left	1.52099990845	2	0
12	17	1	7	0	f	n	19	right	right	1.86800003052	2	1
12	18	1	8	0	f	n	58	left	left	1.70200014114	2	1
12	19	1	9	0	f	n	02	left	right	2.88899993896	2	1
12	20	1	10	0	f	n	14	left	right	2.19400000572	2	1
12	21	1	11	0	f	n	16	left	left	2.47199988365	1	0
12	22	1	12	0	f	n	37	left	left	1.54500007629	1	0
12	23	1	13	0	f	n	16	left	left	3.83199977875	1	0
12	24	1	14	0	m	n	05	right	left	7.67499995232	3	NA
12	25	1	15	0	f	n	58	right	right	2.51699995995	2	1
12	26	1	16	0	f	n	26	left	left	2.60700011253	1	0
12	27	1	17	0	m	n	36	right	right	1.91400003433	2	0
12	28	1	18	0	m	n	05	left	left	1.4350001812	1	1
12	29	1	19	0	m	n	49	right	right	9.62699985504	2	0
12	30	1	20	0	m	n	07	left	right	3.11099982262	2	NA
12	31	1	21	0	m	n	21	right	right	3.05599999428	1	1
12	32	1	22	0	f	n	31	left	right	4.46000003815	3	NA
12	33	1	23	0	f	n	19	left	left	2.13999986649	1	0
12	34	1	24	0	m	n	24	right	right	1.95499992371	2	0
12	35	1	25	0	m	n	24	right	right	1.45900011063	1	1
12	36	1	26	0	m	n	25	left	left	1.3220000267	1	1
12	37	1	27	0	f	n	58	right	right	1.38199996948	2	1
12	38	1	28	0	f	n	19	left	left	1.70900011063	2	1
12	39	1	29	0	m	n	20	left	left	1.4279999733	1	1
12	40	1	30	0	f	n	19	right	left	1.27600002289	2	1
12	41	1	31	0	f	n	18	right	right	2.47200012207	1	0
12	42	1	32	0	f	n	31	right	right	1.18099999428	2	1
12	43	1	33	0	m	n	33	left	left	1.29200005531	1	1
