KI	Trl	Block	Trl/Bl	Crit	Sex	Emo	PicID	Cue	StimPos	RT	Ans	Correct
7	1	1	1	0	m	n	23	right	right	7.80599999428	2	0
7	2	1	2	0	f	n	04	right	right	3.55900001526	1	0
7	3	1	3	0	f	n	02	right	right	6.02500009537	2	1
7	4	1	4	0	f	n	32	left	right	4.52499985695	2	1
7	5	1	5	0	m	n	21	left	left	2.30400013924	1	1
7	6	1	6	0	f	n	14	left	left	5.97000002861	1	0
7	7	1	7	0	m	n	05	right	left	6.42700004578	2	0
7	8	1	8	0	f	n	26	left	left	3.72800016403	2	1
7	9	1	9	0	m	n	23	right	right	3.43699979782	1	1
7	10	1	10	0	m	n	05	left	left	4.6819999218	2	0
7	11	1	1	0	m	n	28	right	right	3.10599994659	1	1
7	12	1	2	0	m	n	25	left	left	2.92300009727	1	1
7	13	1	3	0	m	n	24	right	right	10.4359998703	3	NA
7	14	1	4	0	m	n	25	left	left	4.25099992752	1	1
7	15	1	5	0	m	n	33	right	right	4.26799988747	1	1
7	16	1	6	0	f	n	18	right	left	2.4240000248	2	1
7	17	1	7	0	f	n	19	left	left	2.26999998093	2	1
7	18	1	8	0	f	n	12	right	right	2.91199994087	2	1
7	19	1	9	0	m	n	10	right	right	5.0039999485	2	0
7	20	1	10	0	m	n	23	right	left	5.59700012207	3	NA
7	21	1	11	0	m	n	05	right	right	2.33000016212	1	1
7	22	1	12	0	f	n	08	left	right	8.58799982071	3	NA
7	23	1	13	0	f	n	12	left	right	3.71300005913	2	1
7	24	1	14	0	f	n	37	right	right	2.60100007057	1	0
7	25	1	15	0	f	n	14	left	right	2.44900012016	2	1
7	26	1	16	0	f	n	56	right	right	4.99899983406	2	1
7	27	1	17	0	m	n	71	left	left	3.05399990082	1	1
7	28	1	18	0	f	n	31	right	right	2.50900006294	1	0
7	29	1	19	0	m	n	33	left	right	2.41200017929	1	1
7	30	1	20	0	m	n	49	right	right	2.71499991417	1	1
7	31	1	21	0	f	n	02	right	right	4.66600012779	1	0
7	32	1	22	0	m	n	38	right	right	3.95900011063	1	1
7	33	1	23	0	f	n	04	right	right	6.9390001297	1	NA
7	34	1	24	0	f	n	31	left	left	3.75600004196	3	NA
7	35	1	25	0	m	n	49	right	right	3.24300003052	1	1
7	36	1	26	0	f	n	58	left	left	2.53400015831	2	1
7	37	1	27	0	f	n	16	left	left	2.59999990463	2	1
7	38	1	28	0	f	n	32	left	left	2.79600000381	1	0
7	39	1	29	0	m	n	71	left	left	2.49400019646	1	1
7	40	1	30	0	f	n	18	right	right	10.1689999104	1	0
7	41	1	31	0	m	n	36	right	left	3.6890001297	2	0
7	42	1	32	0	f	n	18	left	left	7.382999897	2	1
7	43	1	33	0	m	n	36	left	left	2.74599981308	1	1
7	44	1	34	0	m	n	10	right	left	1.96500015259	1	1
7	45	1	35	0	f	n	26	right	left	2.1099998951	2	1
7	46	1	36	0	m	n	36	left	left	2.44100022316	1	1
7	47	1	37	0	m	n	05	left	left	2.95399999619	1	1
7	48	1	38	0	f	n	56	right	right	6.63100004196	1	0
7	49	1	39	0	f	n	18	right	right	2.90400004387	2	1
7	50	1	40	0	f	n	12	left	left	2.17499995232	2	1
7	51	1	41	0	f	n	32	left	left	2.6859998703	1	0
7	52	1	42	0	m	n	28	left	left	2.64499998093	1	1
7	53	1	43	0	m	n	20	left	left	2.21199989319	1	1
7	54	1	44	0	f	n	22	right	right	3.1740000248	2	1
7	55	1	45	0	f	n	26	left	left	2.70299983025	1	0
7	56	1	46	0	f	n	08	right	right	2.49099993706	2	1
7	57	1	47	0	m	n	46	left	left	3.09700012207	1	1
7	58	1	48	0	m	n	25	right	right	2.1369998455	2	0
7	59	1	49	0	m	n	21	right	right	2.5600001812	2	0
7	60	1	50	0	m	n	49	right	right	1.70700001717	1	1
7	61	1	51	0	m	n	25	right	right	1.93000006676	1	1
7	62	1	52	0	m	n	05	left	right	5.40200018883	1	NA
7	63	1	53	0	f	n	19	right	left	6.05999994278	3	NA
7	64	1	54	0	m	n	71	right	right	2.4470000267	1	1
7	65	1	55	0	f	n	56	left	left	3.25500011444	1	0
7	66	1	56	0	f	n	08	left	left	1.91599988937	2	1
7	67	1	57	0	f	n	31	right	right	2.20399999619	1	0
7	68	1	58	0	f	n	14	left	left	2.21000003815	2	1
7	69	1	59	0	m	n	25	right	right	3.88300013542	1	1
7	70	1	60	0	m	n	10	left	left	2.34899997711	1	1
7	71	1	61	0	m	n	28	left	left	2.66200017929	1	1
7	72	1	62	0	f	n	56	right	right	2.23100018501	2	1
7	73	1	63	0	m	n	49	left	right	2.36199998856	1	1
7	74	1	64	0	f	n	31	left	left	2.7009999752	2	1
7	75	1	65	0	m	n	71	left	left	2.86199998856	2	0
7	76	1	66	0	m	n	10	left	right	2.79600000381	1	1
7	77	1	67	0	f	n	56	right	right	10.4230000973	1	0
7	78	1	68	0	f	n	12	left	left	1.98300004005	2	1
7	79	1	69	0	m	n	33	left	left	6.38100004196	2	NA
7	80	1	70	0	f	n	04	right	left	2.60299992561	1	0
7	81	2	1	0	f	n	01	left	left	3.25300002098	1	0
7	82	2	2	1	f	n	37	left	right	2.88999986649	1	NA
7	83	2	3	0	m	n	24	right	right	2.3710000515	1	1
7	84	2	4	0	f	n	12	right	right	4.55900001526	2	1
7	85	2	5	0	m	n	07	right	right	2.04099988937	1	1
7	86	2	6	0	m	n	33	left	left	2.10800004005	1	1
7	87	2	7	0	f	n	16	right	right	1.89600014687	2	1
7	88	2	8	0	f	n	19	left	left	4.9240000248	1	0
7	89	2	9	0	f	n	22	left	left	1.38199996948	2	1
7	90	2	10	0	m	n	47	left	left	2.59299993515	1	1
7	91	2	11	0	f	n	58	right	right	1.46200013161	2	1
7	92	2	12	0	f	n	26	right	right	3.48600006104	1	0
7	93	2	13	0	m	n	23	right	right	2.28399991989	1	1
7	94	2	14	0	m	n	07	right	right	1.49499988556	1	1
7	95	2	15	0	f	n	16	left	left	2.75999999046	1	0
7	96	2	16	0	f	n	32	left	right	1.5640001297	2	1
7	97	2	17	0	m	n	20	left	left	1.60300016403	1	1
7	98	2	18	0	f	n	37	left	left	3.72099995613	1	0
7	99	2	19	0	m	n	28	left	right	6.08700013161	3	NA
7	100	2	20	0	f	n	04	right	right	4.492000103	3	NA
7	101	2	21	0	f	n	08	left	left	3.25899982452	1	0
7	102	2	22	0	m	n	10	left	left	1.72600007057	1	1
7	103	2	23	0	m	n	23	left	left	1.56500005722	1	1
7	104	2	24	0	f	n	19	left	left	1.61199998856	2	1
7	105	2	25	0	f	n	16	right	right	1.38400006294	1	0
7	106	2	26	0	m	n	07	left	right	1.992000103	2	0
7	107	2	27	0	m	n	38	left	left	1.27200007439	1	1
7	108	2	28	0	f	n	58	right	right	1.22299981117	2	1
7	109	2	29	0	m	n	20	right	right	1.33200001717	1	1
7	110	2	30	0	m	n	71	left	left	1.15000009537	1	1
7	111	2	31	0	m	n	21	right	right	1.50300002098	2	0
7	112	2	32	0	f	n	58	left	left	1.19000005722	2	1
7	113	2	33	0	m	n	36	right	left	1.30599999428	1	1
7	114	2	34	0	m	n	21	right	left	10.256000042	2	NA
7	115	2	35	0	m	n	28	right	left	7.3180000782	2	0
7	116	2	36	0	m	n	46	left	left	2.36299991608	1	1
7	117	2	37	0	f	n	18	right	right	1.73600006104	2	1
7	118	2	38	0	m	n	47	right	right	1.39400005341	1	1
7	119	2	39	0	f	n	01	left	left	1.59599995613	2	1
7	120	2	40	0	m	n	49	right	right	1.03499984741	1	1
7	121	2	41	0	m	n	38	right	right	6.80799984932	1	NA
7	122	2	42	0	f	n	37	right	left	6.23399996758	2	1
7	123	2	43	0	m	n	47	right	right	2.27400016785	2	0
7	124	2	44	0	f	n	14	right	right	1.39400005341	2	1
7	125	2	45	0	m	n	46	right	right	2.00999999046	1	1
7	126	2	46	0	f	n	31	left	right	1.61299991608	1	0
7	127	2	47	0	m	n	24	left	right	1.18799996376	1	1
7	128	2	48	0	m	n	46	left	left	2.18600010872	1	1
7	129	2	49	0	f	n	02	right	right	1.32100009918	2	1
7	130	2	50	0	f	n	26	left	left	5.21700000763	3	NA
7	131	2	51	0	f	n	14	left	right	6.68899989128	1	0
7	132	2	52	0	m	n	33	right	right	2.13999986649	1	1
7	133	2	53	0	m	n	38	left	right	1.57699990273	1	1
7	134	2	54	1	m	n	24	left	left	4.18099999428	1	NA
7	135	2	55	0	f	n	32	right	right	2.6360001564	1	0
7	136	2	56	0	f	n	08	right	right	3.53200006485	1	0
7	137	2	57	0	f	n	02	left	left	1.83500003815	2	1
7	138	2	58	0	m	n	47	left	left	1.875	2	0
7	139	2	59	0	f	n	22	right	right	1.97399997711	2	1
7	140	2	60	0	f	n	01	right	right	2.55599999428	1	0
7	141	2	61	0	m	n	20	right	right	1.31699991226	1	1
7	142	2	62	0	m	n	38	right	right	1.52800011635	1	1
7	143	2	63	0	f	n	16	left	left	2.68099999428	1	0
7	144	2	64	0	m	n	47	left	left	0.994000196457	1	1
7	145	2	65	0	m	n	36	right	right	1.06600022316	1	1
7	146	2	66	0	m	n	20	left	left	1.7009999752	2	0
7	147	2	67	0	m	n	21	left	left	1.21500015259	2	0
7	148	2	68	0	f	n	01	left	left	2.17199993134	2	1
7	149	2	69	0	f	n	02	right	left	4.44199991226	3	NA
7	150	2	70	0	m	n	46	right	left	3.35400009155	2	0
7	151	2	71	0	f	n	01	right	right	2.82800006866	2	1
7	152	2	72	0	m	n	07	right	right	2.03900003433	1	1
7	153	2	73	0	f	n	22	right	right	1.54200005531	1	0
7	154	2	74	0	f	n	58	left	left	1.68600010872	2	1
7	155	2	75	0	f	n	22	right	left	2.6779999733	2	1
7	156	2	76	0	f	n	04	right	left	2.63599991798	1	0
7	157	2	77	0	f	n	19	left	left	2.02699995041	2	1
7	158	2	78	0	m	n	24	left	left	0.883999824524	1	1
7	159	2	79	0	m	n	07	left	left	0.951999902725	1	1
7	160	2	80	0	f	n	37	left	left	1.8180000782	2	1
7	161	3	1	0	f	n	12	right	left	2.10800004005	2	1
7	162	3	2	0	f	n	12	right	right	2.5119998455	2	1
7	163	3	3	0	f	n	31	right	right	1.21200013161	1	0
7	164	3	4	0	f	n	04	right	left	3.61199998856	3	NA
7	165	3	5	0	f	n	56	left	left	4.75999999046	1	0
7	166	3	6	0	m	n	07	right	right	1.22499990463	1	1
7	167	3	7	0	m	n	10	left	left	1.00400018692	1	1
7	168	3	8	0	m	n	21	left	left	0.990000009537	1	1
7	169	3	9	0	m	n	38	left	left	1.62400007248	1	1
7	170	3	10	0	f	n	32	right	right	1.46800017357	1	0
7	171	3	11	0	f	n	37	left	right	4.45900011063	3	NA
7	172	3	12	0	m	n	36	left	left	1.91400003433	2	0
7	173	3	13	0	f	n	37	right	right	2.15400004387	2	1
7	174	3	14	0	f	n	02	right	right	1.30599999428	2	1
7	175	3	15	0	f	n	08	left	right	2.71600008011	2	1
7	176	3	16	0	m	n	21	left	left	1.05599999428	1	1
7	177	3	17	0	f	n	19	left	left	0.800999879837	2	1
7	178	3	18	0	m	n	05	left	left	1.36100006104	1	1
7	179	3	19	0	f	n	19	left	left	5.18099999428	2	NA
7	180	3	20	0	m	n	21	right	left	2.40000009537	1	1
7	181	3	21	0	m	n	49	right	right	1.65999984741	1	1
7	182	3	22	0	f	n	12	right	right	1.59899997711	2	1
7	183	3	23	0	m	n	21	left	left	1.59899997711	1	1
7	184	3	24	0	f	n	26	right	right	0.894999980927	2	1
7	185	3	25	0	m	n	25	left	left	4.15400004387	3	NA
7	186	3	26	0	f	n	22	left	right	3.19099998474	1	0
7	187	3	27	0	f	n	16	left	left	2.08800005913	2	1
7	188	3	28	0	m	n	46	right	right	2.10699987411	1	1
7	189	3	29	0	m	n	46	right	right	6.6819999218	1	NA
7	190	3	30	0	m	n	71	right	right	2.57499980927	1	1
7	191	3	31	0	f	n	32	left	left	1.27699995041	2	1
7	192	3	32	0	f	n	16	left	left	4.69599986076	1	0
7	193	3	33	0	m	n	49	left	right	1.37099981308	1	1
7	194	3	34	0	m	n	38	right	right	2.50499987602	1	1
7	195	3	35	0	f	n	58	right	right	1.38300013542	2	1
7	196	3	36	1	m	n	24	right	left	4.1970000267	1	NA
7	197	3	37	0	m	n	71	right	right	1.66299986839	1	1
7	198	3	38	0	f	n	12	left	left	1.59899997711	2	1
7	199	3	39	0	f	n	08	left	left	1.96300005913	2	1
7	200	3	40	0	m	n	47	left	right	2.56300020218	1	1
7	201	3	41	0	f	n	58	right	right	1.70200014114	2	1
7	202	3	42	0	m	n	28	left	left	1.76600003242	2	0
7	203	3	43	0	f	n	31	right	right	1.42100000381	2	1
7	204	3	44	0	f	n	16	right	right	1.91299986839	1	0
7	205	3	45	0	f	n	19	left	left	1.21399998665	2	1
7	206	3	46	0	m	n	71	left	left	1.29600000381	1	1
7	207	3	47	0	m	n	23	right	right	1.18000006676	1	1
7	208	3	48	0	f	n	02	right	right	0.93700003624	2	1
7	209	3	49	0	f	n	01	left	left	2.09200000763	2	1
7	210	3	50	0	m	n	46	right	right	3.33899998665	2	0
7	211	3	51	0	m	n	07	right	left	3.12800002098	1	1
7	212	3	52	1	f	n	08	right	right	5.91599988937	3	NA
7	213	3	53	0	f	n	31	left	right	1.53199982643	2	1
7	214	3	54	0	f	n	04	right	right	1.34100008011	1	0
7	215	3	55	0	m	n	24	right	right	0.804999828339	1	1
7	216	3	56	0	m	n	24	right	right	0.898999929428	1	1
7	217	3	57	0	f	n	56	right	right	1.382999897	2	1
7	218	3	58	0	m	n	05	right	right	0.800999879837	1	1
7	219	3	59	0	f	n	02	right	left	1.60500001907	2	1
7	220	3	60	0	m	n	33	right	right	2.09299993515	1	1
7	221	3	61	0	m	n	07	left	right	6.95200014114	1	NA
7	222	3	62	0	f	n	02	left	left	6.9849998951	1	0
7	223	3	63	0	m	n	24	left	left	1.41100001335	1	1
7	224	3	64	0	m	n	20	right	right	1.74900007248	1	1
7	225	3	65	0	m	n	25	right	right	1.24300003052	1	1
7	226	3	66	0	f	n	37	right	right	1.11299991608	2	1
7	227	3	67	0	m	n	33	left	left	0.988000154495	1	1
7	228	3	68	0	m	n	71	right	right	1.00699996948	1	1
7	229	3	69	0	m	n	23	left	left	3.53200006485	1	1
7	230	3	70	0	m	n	25	left	left	1.5150001049	1	1
7	231	3	71	0	f	n	26	left	left	1.66199994087	2	1
7	232	3	72	0	m	n	36	left	left	1.51399993896	2	0
7	233	3	73	0	f	n	19	right	left	1.67700004578	2	1
7	234	3	74	0	f	n	14	left	left	1.23300004005	2	1
7	235	3	75	0	f	n	56	left	left	0.855000019073	2	1
7	236	3	76	0	f	n	16	left	left	1.24000000954	2	1
7	237	3	77	0	f	n	26	left	left	0.975000143051	2	1
7	238	3	78	0	m	n	49	left	right	1.78700017929	1	1
7	239	3	79	0	m	n	46	right	left	1.03400015831	1	1
7	240	3	80	0	m	n	07	left	left	1.70300006866	1	1
7	241	4	1	0	m	n	47	left	left	1.21399998665	1	1
7	242	4	2	0	f	n	31	left	right	0.908999919891	2	1
7	243	4	3	0	f	n	56	left	left	1.76699995995	1	0
7	244	4	4	0	m	n	28	right	right	1.22199988365	1	1
7	245	4	5	0	f	n	31	left	left	11.388999939	3	NA
7	246	4	6	0	f	n	12	left	left	2.65600013733	2	1
7	247	4	7	0	m	n	20	right	right	0.884000062943	1	1
7	248	4	8	0	f	n	32	right	right	1.42100000381	1	0
7	249	4	9	0	f	n	14	right	right	1.02600002289	1	0
7	250	4	10	0	f	n	37	left	left	1.46399998665	2	1
7	251	4	11	0	m	n	10	left	left	4.68400001526	2	NA
7	252	4	12	0	m	n	47	left	left	2.57899999619	1	1
7	253	4	13	0	f	n	18	right	right	1.72099995613	2	1
7	254	4	14	0	m	n	28	left	left	2.757999897	1	1
7	255	4	15	0	f	n	02	right	right	0.905999898911	2	1
7	256	4	16	0	m	n	33	right	right	1.69200015068	1	1
7	257	4	17	0	m	n	07	left	left	1.67199993134	1	1
7	258	4	18	0	f	n	08	right	right	1.18000006676	2	1
7	259	4	19	0	m	n	28	right	left	1.28699994087	1	1
7	260	4	20	0	m	n	49	right	right	2.60199999809	1	1
