KI	Trl	Block	Trl/Bl	Crit	Sex	Emo	PicID	Cue	StimPos	RT	Ans	Correct
13	1	1	1	0	m	n	46	left	left	2.44499993324	1	1
13	2	1	2	0	f	n	12	right	right	2.56299996376	1	0
13	3	1	3	0	f	n	16	left	left	2.68000006676	2	1
13	4	1	4	0	m	n	36	right	left	3.38599991798	2	0
13	5	1	5	0	f	n	02	right	right	15.3050000668	1	0
13	6	1	6	0	f	n	14	left	right	3.29700016975	1	0
13	7	1	7	0	f	n	31	left	left	2.125	2	1
13	8	1	8	0	m	n	33	left	left	1.43700003624	1	1
13	9	1	9	0	m	n	10	right	right	2.1890001297	2	0
13	10	1	10	0	m	n	33	right	right	1.51799988747	1	1
13	11	1	1	0	f	n	37	right	right	2.00300002098	1	0
13	12	1	2	0	m	n	21	left	left	1.21499991417	1	1
13	13	1	3	0	f	n	37	left	right	2.24900007248	1	0
13	14	1	4	0	f	n	18	right	right	1.24100017548	1	0
13	15	1	5	0	m	n	05	right	right	1.65799999237	2	0
13	16	1	6	0	f	n	04	left	left	4.62000012398	3	NA
13	17	1	7	0	m	n	24	right	right	1.78100013733	1	1
13	18	1	8	0	f	n	04	right	left	3.59599995613	2	NA
13	19	1	9	0	m	n	36	left	right	2.1210000515	2	0
13	20	1	10	0	m	n	46	left	left	2.96999979019	3	NA
13	21	1	11	0	f	n	22	left	left	1.62199997902	1	0
13	22	1	12	0	f	n	26	right	right	1.0720000267	2	1
13	23	1	13	0	f	n	12	right	right	1.26399993896	2	1
13	24	1	14	0	m	n	71	right	left	1.39100003242	1	1
13	25	1	15	0	m	n	07	right	left	2.9509999752	3	NA
13	26	1	16	0	f	n	04	left	left	1.19599986076	1	0
13	27	1	17	0	m	n	25	left	left	2.04299998283	1	1
13	28	1	18	0	m	n	28	left	left	1.19199991226	1	1
13	29	1	19	0	f	n	56	left	left	1.33500003815	2	1
13	30	1	20	0	f	n	22	right	right	1.09399986267	2	1
13	31	1	21	0	m	n	24	left	right	4.01900005341	3	NA
13	32	1	22	0	m	n	23	left	left	1.72499990463	2	0
13	33	1	23	0	m	n	07	left	left	1.17599987984	1	1
13	34	1	24	0	f	n	19	right	right	1.21300005913	2	1
13	35	1	25	0	m	n	71	left	left	1.82299995422	2	0
13	36	1	26	0	f	n	18	left	left	1.43099999428	1	0
13	37	1	27	0	m	n	25	left	left	1.19500017166	2	0
13	38	1	28	0	m	n	38	right	right	1.68700003624	1	1
13	39	1	29	0	m	n	71	left	right	2.04699993134	2	0
13	40	1	30	0	m	n	36	left	left	1.22499990463	1	1
13	41	1	31	0	f	n	56	right	left	1.2539999485	1	0
13	42	1	32	0	f	n	32	right	right	4.44400000572	3	NA
13	43	1	33	0	f	n	14	right	left	1.20200014114	1	0
13	44	1	34	0	m	n	46	left	left	1.24199986458	1	1
13	45	1	35	0	m	n	05	right	right	1.1779999733	2	0
13	46	1	36	0	f	n	26	left	left	1.31100010872	2	1
13	47	1	37	0	m	n	38	right	left	1.04800009727	1	1
13	48	1	38	0	m	n	46	right	right	1.64199995995	1	1
13	49	1	39	0	m	n	38	right	right	1.09599995613	1	1
13	50	1	40	0	m	n	07	left	right	2.24799990654	2	0
13	51	1	41	0	m	n	38	right	right	4.72900009155	4	NA
13	52	1	42	0	m	n	23	right	right	1.46899986267	1	1
13	53	1	43	0	m	n	07	right	right	1.44799995422	1	1
13	54	1	44	0	f	n	58	right	right	1.04600000381	2	1
13	55	1	45	0	m	n	20	left	left	1.09200000763	1	1
13	56	1	46	0	f	n	56	left	left	1.06199979782	1	0
13	57	1	47	0	f	n	01	left	left	1.30900001526	1	0
13	58	1	48	0	f	n	32	left	left	1.05200004578	2	1
13	59	1	49	0	f	n	01	left	left	1.05200004578	1	0
13	60	1	50	0	f	n	02	right	right	0.90499997139	2	1
13	61	1	51	0	f	n	56	right	right	1.03099989891	2	1
13	62	1	52	0	m	n	10	left	left	1.67600011826	2	0
13	63	1	53	0	f	n	37	right	right	1.0490000248	2	1
13	64	1	54	0	f	n	19	left	left	1.08500003815	2	1
13	65	1	55	0	f	n	22	left	left	1.01399993896	2	1
