KI	Trl	Block	Trl/Bl	Crit	Sex	Emo	PicID	Cue	StimPos	RT	Ans	Correct
10	1	1	1	0	f	n	26	left	left	5.47200012207	1	0
10	2	1	2	0	f	n	02	right	right	2.71200013161	1	0
10	3	1	3	0	m	n	33	right	right	2.69999980927	1	1
10	4	1	4	0	m	n	07	left	left	1.24000000954	1	1
10	5	1	5	0	f	n	31	left	right	4.7009999752	2	1
10	6	1	6	0	f	n	19	left	left	5.51600003242	2	1
10	7	1	7	0	f	n	37	right	right	3.91499996185	2	1
10	8	1	8	0	m	n	49	right	left	6.3630001545	1	1
10	9	1	9	0	m	n	28	left	left	5.28600001335	1	1
10	10	1	10	0	m	n	38	right	right	2.92000007629	1	1
10	11	1	1	0	m	n	10	right	right	3.76700019836	1	1
10	12	1	2	0	m	n	28	left	left	1.30200004578	1	1
10	13	1	3	0	f	n	16	right	right	1.68799996376	2	1
10	14	1	4	0	m	n	25	right	left	2.34700012207	1	1
10	15	1	5	0	m	n	25	left	left	1.73900008202	1	1
10	16	1	6	0	m	n	49	right	right	1.49799990654	1	1
10	17	1	7	0	f	n	02	left	left	1.46399998665	2	1
10	18	1	8	0	f	n	37	right	left	2.72899985313	1	0
10	19	1	9	0	f	n	08	left	left	24.7330000401	1	NA
10	20	1	10	0	m	n	21	right	right	3.75900006294	1	1
10	21	1	11	0	f	n	19	left	left	2.17199993134	1	0
10	22	1	12	0	f	n	32	left	left	3.48399996758	1	0
10	23	1	13	0	m	n	47	left	left	1.875	1	1
10	24	1	14	0	m	n	21	left	left	2.03100013733	2	0
10	25	1	15	0	m	n	23	left	left	1.25999999046	1	1
10	26	1	16	0	m	n	71	right	right	2.47900009155	2	0
10	27	1	17	0	f	n	32	left	left	2.76499986649	1	0
10	28	1	18	0	m	n	07	left	left	1.52699995041	1	1
10	29	1	19	0	f	n	56	right	left	1.75	2	1
10	30	1	20	0	f	n	58	left	left	1.86199998856	2	1
10	31	1	21	0	f	n	01	right	left	4.33200001717	2	NA
10	32	1	22	0	m	n	07	right	right	2.79200005531	2	0
10	33	1	23	0	m	n	24	left	left	3.89100003242	2	0
10	34	1	24	0	m	n	33	right	right	2.55599999428	1	1
10	35	1	25	0	m	n	36	left	left	2.08999991417	1	1
10	36	1	26	0	f	n	37	left	left	3.72099995613	1	0
10	37	1	27	0	f	n	12	right	right	1.75899982452	2	1
10	38	1	28	0	f	n	12	left	left	3.39099979401	2	1
10	39	1	29	0	f	n	56	right	right	2.11999988556	1	0
10	40	1	30	0	m	n	24	right	right	1.73099994659	1	1
10	41	1	31	0	m	n	33	left	left	3.19699978828	1	1
10	42	1	32	0	m	n	47	left	left	4.00199985504	1	1
10	43	1	33	0	m	n	05	right	right	2.10699987411	2	0
10	44	1	34	0	m	n	49	left	left	1.46600008011	1	1
10	45	1	35	0	m	n	38	left	right	8.32800006866	3	NA
10	46	1	36	0	f	n	22	right	right	3.57399988174	1	0
10	47	1	37	0	m	n	20	right	left	4.4359998703	2	NA
10	48	1	38	0	m	n	47	right	right	4.24300003052	2	NA
10	49	1	39	0	m	n	25	left	right	4.02600002289	2	0
10	50	1	40	0	m	n	71	left	right	3.77500009537	2	0
10	51	1	41	0	f	n	26	left	right	2.75200009346	1	0
10	52	1	42	0	m	n	05	left	left	1.73900008202	1	1
10	53	1	43	0	f	n	58	left	left	1.125	1	0
10	54	1	44	0	m	n	23	right	right	1.80400013924	2	0
10	55	1	45	0	m	n	05	right	right	1.88199996948	2	0
10	56	1	46	0	f	n	04	left	left	3.4509999752	1	0
10	57	1	47	0	f	n	01	right	right	2.12299990654	2	1
10	58	1	48	0	m	n	23	right	left	4.52400016785	2	0
10	59	1	49	0	f	n	16	right	right	2.16799998283	1	0
10	60	1	50	0	m	n	49	right	right	1.43499994278	1	1
10	61	1	51	0	m	n	23	left	left	3.5490000248	2	NA
10	62	1	52	0	f	n	22	right	right	4.3259999752	2	1
10	63	1	53	0	f	n	02	right	right	2.60100007057	2	1
10	64	1	54	0	f	n	16	left	right	3.99300003052	2	1
10	65	1	55	0	f	n	26	left	left	2.25500011444	2	1
10	66	1	56	0	f	n	56	right	right	1.84700012207	1	0
10	67	1	57	0	m	n	46	right	right	1.99500012398	1	1
10	68	1	58	0	f	n	18	right	right	1.76800012589	2	1
10	69	1	59	0	f	n	58	right	right	5.54100012779	2	NA
10	70	1	60	0	m	n	24	right	right	3.09099984169	1	1
10	71	1	61	0	f	n	14	right	right	2.35299992561	2	1
10	72	1	62	0	f	n	04	left	left	2.73200011253	1	0
10	73	1	63	0	f	n	01	left	left	4.54099988937	1	0
10	74	1	64	0	m	n	21	left	right	3.79099988937	1	1
10	75	1	65	0	f	n	08	right	right	1.75600004196	2	1
10	76	1	66	0	f	n	31	right	left	1.9319999218	1	0
10	77	1	67	0	f	n	12	right	right	1.75899982452	2	1
10	78	1	68	0	f	n	18	left	right	5.22399997711	2	NA
10	79	1	69	0	f	n	26	left	left	2.8630001545	1	0
10	80	1	70	0	m	n	49	left	left	4.29800009727	1	1
10	81	2	1	0	f	n	32	left	left	2.13199996948	1	0
10	82	2	2	0	f	n	12	right	right	1.56700015068	1	0
10	83	2	3	0	m	n	71	right	right	3.50300002098	1	1
10	84	2	4	0	m	n	07	right	right	2.60000014305	2	0
10	85	2	5	0	f	n	14	right	right	2.20900011063	2	1
10	86	2	6	0	m	n	20	left	left	1.36500000954	1	1
10	87	2	7	0	m	n	36	left	right	2.87400007248	2	0
10	88	2	8	0	m	n	10	left	left	1.75600004196	1	1
10	89	2	9	0	f	n	32	left	left	1.4509999752	1	0
10	90	2	10	0	f	n	02	right	right	1.80100011826	2	1
10	91	2	11	0	f	n	18	left	left	3.54299998283	2	1
10	92	2	12	0	m	n	38	right	right	1.06399989128	1	1
10	93	2	13	0	f	n	16	left	left	2.9849998951	2	1
10	94	2	14	0	f	n	19	left	right	3.13199996948	1	0
10	95	2	15	0	f	n	08	right	right	4.09200000763	1	0
10	96	2	16	1	m	n	46	left	left	5.78600001335	1	NA
10	97	2	17	0	m	n	47	left	left	3.04199981689	1	1
10	98	2	18	0	f	n	01	left	left	3.33999991417	2	1
10	99	2	19	0	f	n	01	left	right	2.33299994469	2	1
10	100	2	20	0	m	n	38	left	left	1.86299991608	1	1
10	101	2	21	0	f	n	19	left	left	4.38100004196	2	NA
10	102	2	22	0	m	n	24	right	right	2.96399998665	1	1
10	103	2	23	0	f	n	32	right	right	2.36500000954	2	1
10	104	2	24	0	m	n	05	left	left	2.65100002289	1	1
10	105	2	25	0	f	n	19	left	left	2.62200021744	1	0
10	106	2	26	0	m	n	20	left	right	2.26099991798	2	0
10	107	2	27	0	m	n	10	left	right	4.70000004768	2	NA
10	108	2	28	0	f	n	16	right	left	2.08800005913	1	0
10	109	2	29	0	m	n	10	right	left	4.92599987984	2	NA
10	110	2	30	0	f	n	31	right	right	2.7009999752	1	0
