KI	Trl	Block	Trl/Bl	Crit	Sex	Emo	PicID	Cue	StimPos	RT	Ans	Correct
8	1	1	1	0	m	n	07	left	left	4.00900006294	1	1
8	2	1	2	0	f	n	14	right	right	2.58999991417	1	0
8	3	1	3	0	m	n	71	left	left	2.52699995041	1	1
8	4	1	4	0	m	n	28	right	left	1.54299998283	1	1
8	5	1	5	0	f	n	14	left	left	1.49000000954	1	0
8	6	1	6	0	f	n	04	left	right	4.507999897	2	1
8	7	1	7	0	f	n	32	left	left	2.01300001144	1	0
8	8	1	8	0	m	n	07	right	right	2.6970000267	1	1
8	9	1	9	0	f	n	02	right	right	1.43400001526	1	0
8	10	1	10	0	m	n	47	right	right	0.800999879837	1	1
8	11	1	1	0	m	n	47	left	left	1.01999998093	1	1
8	12	1	2	0	f	n	37	right	left	1.28900003433	2	1
8	13	1	3	0	m	n	24	right	right	1.39499998093	1	1
8	14	1	4	0	m	n	47	left	left	1.89100003242	1	1
8	15	1	5	0	m	n	46	right	right	1.94499993324	1	1
8	16	1	6	0	f	n	19	left	left	1.25900006294	2	1
8	17	1	7	0	f	n	22	left	left	1.87699985504	2	1
8	18	1	8	0	f	n	22	right	right	1.3180000782	2	1
8	19	1	9	0	f	n	31	left	right	4.09299993515	3	NA
8	20	1	10	0	m	n	33	left	left	2.09100008011	1	1
8	21	1	11	0	m	n	10	right	right	3.42100000381	1	1
8	22	1	12	0	f	n	16	right	right	1.8639998436	2	1
8	23	1	13	0	f	n	16	left	left	1.75300002098	2	1
8	24	1	14	0	m	n	38	left	left	1.382999897	2	0
8	25	1	15	0	m	n	23	left	right	2.04400014877	1	1
8	26	1	16	0	m	n	20	left	left	1.46099996567	1	1
8	27	1	17	0	m	n	25	left	left	1.14700007439	2	0
8	28	1	18	0	f	n	18	right	right	2.16899991035	2	1
8	29	1	19	0	m	n	10	left	right	1.50099992752	1	1
8	30	1	20	0	m	n	33	right	right	1.21200013161	1	1
8	31	1	21	0	m	n	21	right	right	1.15100002289	2	0
8	32	1	22	0	m	n	05	right	right	1.3220000267	1	1
8	33	1	23	0	f	n	02	right	left	1.08099985123	2	1
8	34	1	24	0	m	n	20	right	right	2.32500004768	1	1
8	35	1	25	0	f	n	02	right	right	1.83299994469	2	1
8	36	1	26	0	f	n	12	right	right	1.19800019264	2	1
8	37	1	27	0	f	n	08	right	right	1.14800000191	2	1
8	38	1	28	0	m	n	10	left	left	2.09200000763	1	1
8	39	1	29	0	f	n	37	right	left	1.38599991798	1	0
8	40	1	30	0	m	n	36	right	left	1.51400017738	1	1
8	41	1	31	0	f	n	26	left	right	1.13499999046	2	1
8	42	1	32	0	m	n	24	right	right	1.52300000191	2	0
8	43	1	33	0	f	n	04	left	left	0.800999879837	2	1
8	44	1	34	0	m	n	71	right	right	6.2009999752	4	NA
8	45	1	35	0	f	n	31	left	left	1.19600009918	1	0
8	46	1	36	0	m	n	46	left	left	0.810000181198	2	0
8	47	1	37	0	m	n	28	left	right	2.39299988747	4	NA
8	48	1	38	0	m	n	10	right	right	2.01200008392	1	1
8	49	1	39	0	m	n	36	right	right	2.16999983788	2	0
8	50	1	40	0	f	n	14	right	right	1.79399991035	1	0
8	51	1	41	0	f	n	31	right	right	1.5640001297	1	0
8	52	1	42	0	f	n	12	left	right	1.48699998856	2	1
8	53	1	43	0	m	n	21	left	left	1.47100019455	2	0
8	54	1	44	0	f	n	12	left	left	2.14299988747	4	NA
8	55	1	45	0	m	n	33	left	left	1.48500013351	2	0
8	56	1	46	0	f	n	22	left	left	0.802000045776	1	0
8	57	1	47	0	m	n	25	right	right	1.32799983025	1	1
8	58	1	48	0	f	n	31	left	left	0.801000118256	1	0
8	59	1	49	0	f	n	01	left	left	1.41799998283	1	0
8	60	1	50	0	f	n	18	right	right	1.1930000782	2	1
8	61	1	51	0	f	n	08	right	right	1.14800000191	1	0
8	62	1	52	0	m	n	25	right	left	2.69799995422	2	NA
8	63	1	53	0	f	n	18	right	left	2.85599994659	2	NA
8	64	1	54	0	m	n	07	left	left	2.8869998455	1	1
8	65	1	55	0	m	n	36	left	left	1.7539999485	2	0
8	66	1	56	0	m	n	36	right	left	2.52099990845	2	0
8	67	1	57	0	f	n	19	left	left	1.1970000267	2	1
8	68	1	58	0	f	n	19	left	left	1.37199997902	2	1
8	69	1	59	0	f	n	04	right	right	3.94799995422	3	NA
8	70	1	60	0	m	n	71	left	right	1.53500008583	1	1
8	71	1	61	0	m	n	23	left	left	1.77200007439	1	1
8	72	1	62	0	f	n	32	right	right	1.24399995804	1	0
8	73	1	63	0	m	n	10	right	right	1.26200008392	1	1
8	74	1	64	0	f	n	18	right	right	1.08099985123	2	1
8	75	1	65	0	m	n	28	left	left	2.8220000267	2	NA
8	76	1	66	0	f	n	12	left	left	2.52699995041	2	1
8	77	1	67	0	f	n	56	left	left	1.31900000572	1	0
8	78	1	68	0	f	n	56	left	left	1.33500003815	1	0
8	79	1	69	0	m	n	49	right	right	1.43499994278	1	1
8	80	1	70	0	f	n	04	right	right	1.132999897	2	1
8	81	2	1	0	f	n	14	right	right	1.36899995804	1	0
8	82	2	2	0	f	n	26	left	left	0.800999879837	1	0
8	83	2	3	0	m	n	24	left	left	0.800999879837	1	1
8	84	2	4	0	f	n	19	right	right	0.867000102997	2	1
8	85	2	5	0	f	n	37	left	right	1.38599991798	2	1
8	86	2	6	1	f	n	26	left	right	3.20000004768	1	NA
8	87	2	7	0	m	n	21	left	left	1.90300011635	2	0
8	88	2	8	0	m	n	49	right	right	1.11500000954	2	0
8	89	2	9	0	f	n	22	right	left	2.66200017929	3	NA
8	90	2	10	0	m	n	28	right	right	1.27100014687	1	1
8	91	2	11	0	f	n	22	left	left	1.41399979591	2	1
8	92	2	12	0	m	n	23	right	right	1.08399987221	1	1
8	93	2	13	0	m	n	49	right	right	1.09899997711	1	1
8	94	2	14	0	m	n	28	right	right	1.28699994087	1	1
8	95	2	15	0	m	n	20	right	right	1.25300002098	1	1
8	96	2	16	0	f	n	12	left	left	1.15100002289	2	1
8	97	2	17	0	m	n	20	right	right	1.23599982262	1	1
8	98	2	18	0	m	n	20	right	right	3.58899998665	2	NA
8	99	2	19	0	m	n	24	left	left	1.15599989891	1	1
8	100	2	20	0	m	n	25	left	left	2.09099984169	1	1
8	101	2	21	0	m	n	05	left	left	1.61099982262	1	1
8	102	2	22	0	m	n	36	left	left	1.09800004959	1	1
8	103	2	23	0	f	n	26	left	left	1.2009999752	1	0
8	104	2	24	0	f	n	08	right	right	1.05200004578	2	1
8	105	2	25	0	f	n	01	left	right	0.924000024796	1	0
8	106	2	26	0	f	n	58	right	left	1.4470000267	2	1
8	107	2	27	0	m	n	33	left	left	1.132999897	1	1
8	108	2	28	0	m	n	49	right	right	1.35500001907	2	0
8	109	2	29	0	f	n	01	right	right	0.860000133514	1	0
8	110	2	30	0	m	n	25	left	right	2.85899996758	3	NA
8	111	2	31	0	m	n	33	right	right	1.132999897	1	1
8	112	2	32	0	f	n	32	left	right	1.02099990845	1	0
8	113	2	33	0	m	n	23	right	right	1.16499996185	2	0
8	114	2	34	0	m	n	49	left	left	1.21099996567	1	1
8	115	2	35	0	f	n	04	right	right	2.71600008011	1	0
8	116	2	36	0	m	n	07	left	left	1.09599995613	1	1
8	117	2	37	0	f	n	37	right	left	1.11400008202	2	1
8	118	2	38	0	f	n	56	right	right	1.17599987984	2	1
8	119	2	39	0	f	n	16	right	right	1.91300010681	2	1
8	120	2	40	0	f	n	01	left	left	1.16399979591	1	0
8	121	2	41	0	f	n	19	left	left	1.24500012398	1	0
