KI	Trl	Block	Trl/Bl	Crit	Sex	Emo	PicID	Cue	StimPos	RT	Ans	Correct
11	1	1	1	0	f	n	18	left	left	1.6890001297	1	0
11	2	1	2	0	m	n	28	right	left	1.14199995995	1	1
11	3	1	3	0	f	n	26	right	right	2.25699996948	2	1
11	4	1	4	0	m	n	20	right	right	1.28400015831	1	1
11	5	1	5	0	f	n	08	left	right	1.00300002098	1	0
11	6	1	6	0	m	n	28	right	right	1.06200003624	1	1
11	7	1	7	0	m	n	21	left	left	0.976000070572	2	0
11	8	1	8	0	m	n	33	left	left	1.03600001335	1	1
11	9	1	9	0	f	n	12	right	right	0.799999952316	2	1
11	10	1	10	0	f	n	37	left	left	0.802000045776	2	1
11	11	1	1	0	m	n	21	left	left	0.945000171661	1	1
11	12	1	2	0	m	n	47	left	left	0.849999904633	1	1
11	13	1	3	0	m	n	23	right	left	1.03599977493	1	1
11	14	1	4	0	f	n	31	left	left	0.801000118256	2	1
11	15	1	5	0	m	n	10	left	left	0.800999879837	2	0
11	16	1	6	0	m	n	10	left	right	1.14199995995	1	1
11	17	1	7	0	f	n	14	left	left	1.617000103	2	1
11	18	1	8	0	m	n	24	right	right	2.38700008392	2	0
11	19	1	9	0	f	n	08	right	right	1.24300003052	1	0
11	20	1	10	0	m	n	38	left	left	0.808000087738	1	1
11	21	1	11	0	m	n	71	right	left	0.801000118256	1	1
11	22	1	12	0	f	n	19	left	left	0.800999879837	2	1
11	23	1	13	0	f	n	04	left	left	2.26999998093	2	1
11	24	1	14	0	m	n	49	right	right	1.57800006866	1	1
11	25	1	15	0	f	n	14	left	left	1.13599991798	2	1
11	26	1	16	0	f	n	19	right	right	0.800999879837	2	1
11	27	1	17	0	f	n	56	right	right	0.917000055313	1	0
11	28	1	18	0	m	n	36	left	left	0.801000118256	1	1
11	29	1	19	0	m	n	36	right	right	0.891000032425	2	0
11	30	1	20	0	m	n	33	right	right	1.8029999733	1	1
11	31	1	21	0	f	n	19	right	right	0.801000118256	2	1
11	32	1	22	0	f	n	14	right	right	0.84299993515	1	0
11	33	1	23	0	f	n	31	left	left	0.859999895096	2	1
11	34	1	24	0	f	n	31	right	left	4.20399999619	3	NA
11	35	1	25	0	f	n	04	left	left	2.63599991798	2	1
11	36	1	26	0	m	n	38	right	right	1.92700004578	2	0
11	37	1	27	0	m	n	24	left	left	1.61999988556	1	1
11	38	1	28	0	m	n	46	left	left	1.25900006294	1	1
11	39	1	29	0	f	n	08	right	left	0.891999959946	2	1
11	40	1	30	0	m	n	23	right	right	1.98000001907	2	0
11	41	1	31	0	f	n	18	right	right	1.41600012779	2	1
11	42	1	32	0	f	n	12	left	right	2.20600008965	1	0
11	43	1	33	0	f	n	37	left	right	3.45000004768	4	NA
11	44	1	34	0	f	n	32	right	right	1.89899992943	2	1
11	45	1	35	0	m	n	36	right	right	1.76900005341	2	0
11	46	1	36	0	f	n	26	right	left	1.27900004387	2	1
11	47	1	37	0	f	n	58	right	left	1.15799999237	2	1
11	48	1	38	0	f	n	56	left	left	1.14300012589	1	0
11	49	1	39	0	f	n	58	right	right	1.1740000248	2	1
11	50	1	40	0	m	n	25	right	left	2.53799986839	3	NA
11	51	1	41	0	f	n	37	left	left	2.56900000572	2	1
11	52	1	42	0	m	n	38	right	right	2.42300009727	1	1
11	53	1	43	0	m	n	21	left	right	2.91299986839	3	NA
11	54	1	44	0	m	n	47	left	left	2.72200012207	1	NA
11	55	1	45	0	f	n	58	left	right	3.62199997902	1	0
11	56	1	46	0	m	n	25	left	left	2.0110001564	1	1
11	57	1	47	0	f	n	16	left	left	1.16100001335	2	1
11	58	1	48	0	m	n	38	left	left	1.16100001335	1	1
11	59	1	49	0	f	n	14	left	left	1.80800008774	1	0
11	60	1	50	0	m	n	07	left	left	1.84700012207	2	0
11	61	1	51	0	f	n	02	right	right	1.80099987984	2	1
11	62	1	52	0	f	n	12	left	left	3.45499992371	1	0
11	63	1	53	0	m	n	71	left	right	2.65499997139	2	0
11	64	1	54	0	f	n	02	right	right	1.17699980736	2	1
11	65	1	55	0	m	n	10	right	right	0.939999818802	1	1
11	66	1	56	0	f	n	22	right	right	1.35000014305	2	1
11	67	1	57	0	m	n	47	left	left	1.69799995422	1	1
11	68	1	58	0	f	n	14	left	left	2.40100002289	3	NA
11	69	1	59	0	m	n	25	right	right	2.25100016594	1	1
11	70	1	60	0	f	n	32	right	right	1.03600001335	2	1
11	71	1	61	0	m	n	20	left	left	1.87600016594	1	1
11	72	1	62	0	m	n	33	left	right	2.37999987602	1	1
11	73	1	63	0	m	n	21	right	right	1.19900012016	2	0
11	74	1	64	0	m	n	24	right	right	1.15499997139	1	1
11	75	1	65	0	m	n	07	right	right	3.17599987984	2	NA
11	76	1	66	0	f	n	01	right	right	2.15600013733	2	1
11	77	1	67	0	f	n	16	left	left	1.52800011635	2	1
11	78	1	68	0	m	n	20	right	right	1.33200001717	1	1
11	79	1	69	0	f	n	26	right	right	3.08599996567	3	NA
11	80	1	70	0	m	n	07	left	left	1.60899996758	1	1
11	81	2	1	0	m	n	46	right	right	1.84299993515	1	1
11	82	2	2	0	m	n	23	left	left	1.48300004005	1	1
11	83	2	3	0	m	n	23	left	left	1.40400004387	1	1
11	84	2	4	0	f	n	22	left	left	1.26999998093	1	0
11	85	2	5	0	f	n	58	left	left	1.19000005722	2	1
11	86	2	6	0	m	n	28	right	right	1.71799993515	1	1
11	87	2	7	0	f	n	56	right	right	1.26999998093	1	0
11	88	2	8	0	m	n	38	left	left	1.23900008202	1	1
11	89	2	9	0	m	n	10	right	right	1.40400004387	1	1
11	90	2	10	0	f	n	18	right	right	1.1289999485	2	1
11	91	2	11	0	f	n	58	left	left	1.36599993706	1	0
11	92	2	12	0	m	n	36	right	right	1.30599999428	1	1
11	93	2	13	0	f	n	18	left	left	1.14400005341	1	0
11	94	2	14	0	m	n	20	left	left	1.02799987793	1	1
11	95	2	15	0	f	n	22	right	right	1.15799999237	2	1
11	96	2	16	0	m	n	49	right	right	1.16299986839	1	1
11	97	2	17	0	m	n	20	right	right	1.18899989128	1	1
11	98	2	18	0	m	n	49	left	left	1.56300020218	1	1
11	99	2	19	0	f	n	01	right	right	1.29299998283	2	1
11	100	2	20	1	f	n	12	left	right	1.91999983788	1	NA
11	101	2	21	0	f	n	12	right	right	1.53499984741	2	1
11	102	2	22	0	f	n	26	right	right	1.15100002289	2	1
11	103	2	23	0	f	n	08	left	left	1.21199989319	1	0
11	104	2	24	0	f	n	32	left	left	1.18000006676	2	1
11	105	2	25	0	m	n	47	left	left	1.08999991417	1	1
11	106	2	26	0	m	n	46	right	right	2.34600019455	2	0
11	107	2	27	0	f	n	37	right	right	2.28200006485	4	NA
11	108	2	28	0	f	n	31	right	left	1.64499998093	1	0
11	109	2	29	0	m	n	05	right	left	3.93099999428	2	0
11	110	2	30	0	m	n	71	left	left	1.05499982834	1	1
11	111	2	31	0	f	n	04	right	right	1.40400004387	2	1
11	112	2	32	0	f	n	31	left	left	2.86099982262	1	0
11	113	2	33	0	m	n	28	right	left	1.89499998093	4	NA
11	114	2	34	0	m	n	05	right	right	1.3869998455	1	1
11	115	2	35	0	f	n	18	right	right	1.04800009727	2	1
11	116	2	36	0	f	n	32	right	right	1.30800008774	1	0
11	117	2	37	0	m	n	47	right	right	1.15399980545	2	0
11	118	2	38	0	m	n	33	right	left	1.57999992371	1	1
