KI	Trl	Block	Trl/Bl	Crit	Sex	Emo	PicID	Cue	StimPos	RT	Ans	Correct
4	1	1	1	0	m	n	38	right	left	3.14499998093	1	1
4	2	1	2	0	m	n	46	left	left	2.21700000763	1	1
4	3	1	3	0	f	n	26	left	left	2.09599995613	2	1
4	4	1	4	0	f	n	02	left	right	4.84200000763	2	1
4	5	1	5	0	f	n	12	right	right	2.11299991608	1	0
4	6	1	6	0	m	n	10	left	left	1.30900001526	2	0
4	7	1	7	0	f	n	02	left	left	0.953999996185	1	0
4	8	1	8	0	m	n	07	right	right	1.33599996567	1	1
4	9	1	9	0	f	n	14	right	right	2.52999997139	1	0
4	10	1	10	0	m	n	23	right	right	1.67699980736	1	1
4	11	1	1	0	m	n	10	left	right	4.16799998283	2	NA
4	12	1	2	0	m	n	20	right	left	2.24500012398	2	0
4	13	1	3	0	m	n	24	right	right	1.54000020027	2	0
4	14	1	4	0	f	n	16	right	right	1.48000001907	1	0
4	15	1	5	0	m	n	25	left	left	1.43400001526	1	1
4	16	1	6	0	f	n	37	left	left	2.36199998856	1	0
4	17	1	7	0	f	n	04	right	right	4.5720000267	2	NA
4	18	1	8	0	f	n	56	left	left	3.15799999237	1	0
4	19	1	9	0	f	n	08	right	right	1.80399990082	2	1
4	20	1	10	0	m	n	20	right	right	4.13399982452	1	1
4	21	1	11	0	f	n	19	right	right	1.24400019646	2	1
4	22	1	12	0	f	n	02	left	left	1.49800014496	1	0
4	23	1	13	0	m	n	25	left	left	1.40200018883	1	1
4	24	1	14	0	f	n	18	right	left	4.05599999428	3	NA
4	25	1	15	0	m	n	46	right	right	2.92299985886	2	0
4	26	1	16	0	m	n	71	left	left	1.5680000782	1	1
4	27	1	17	0	m	n	24	right	right	4.11500000954	3	NA
4	28	1	18	0	f	n	26	left	left	1.98300004005	2	1
4	29	1	19	0	m	n	28	left	left	1.75200009346	1	1
4	30	1	20	0	f	n	22	right	right	1.7349998951	1	0
4	31	1	21	0	f	n	58	right	right	3.33400011063	1	0
4	32	1	22	0	f	n	56	left	left	4.08700013161	1	0
4	33	1	23	0	f	n	22	right	right	1.11099982262	2	1
4	34	1	24	0	f	n	32	left	right	1.02200007439	1	0
4	35	1	25	0	m	n	28	right	right	1.30199980736	1	1
4	36	1	26	0	f	n	16	left	left	1.22300004959	2	1
4	37	1	27	0	m	n	49	left	left	2.68299984932	1	1
4	38	1	28	0	m	n	33	left	left	2.73300004005	4	NA
4	39	1	29	0	f	n	02	right	right	2.16899991035	1	0
4	40	1	30	0	m	n	71	right	right	1.21499991417	1	1
4	41	1	31	0	m	n	38	right	right	1.04800009727	1	1
4	42	1	32	0	m	n	38	left	left	1.36800003052	1	1
4	43	1	33	0	m	n	23	right	right	1.08500003815	1	1
4	44	1	34	0	m	n	49	right	left	2.47499990463	1	1
4	45	1	35	0	m	n	21	right	right	1.26399993896	2	0
4	46	1	36	0	f	n	26	right	right	1.32800006866	1	0
4	47	1	37	0	f	n	58	left	left	1.19000005722	2	1
4	48	1	38	0	f	n	01	left	left	1.32399988174	1	0
4	49	1	39	0	m	n	20	left	left	1.17299985886	1	1
4	50	1	40	0	m	n	24	left	right	1.34800004959	1	1
4	51	1	41	0	m	n	46	right	right	1.48300004005	1	1
4	52	1	42	0	m	n	47	right	right	0.962000131607	1	1
4	53	1	43	0	m	n	05	left	left	1.28999996185	1	1
4	54	1	44	0	m	n	36	left	right	2.36100006104	2	0
4	55	1	45	0	f	n	14	right	right	1.09000015259	1	0
4	56	1	46	0	m	n	25	left	left	1.19400000572	1	1
4	57	1	47	0	f	n	16	right	right	1.17600011826	1	0
4	58	1	48	0	m	n	10	left	left	2.25200009346	1	1
4	59	1	49	0	m	n	38	left	left	1.36699986458	1	1
4	60	1	50	0	f	n	18	left	right	3.52900004387	2	NA
4	61	1	51	0	m	n	28	right	right	1.22300004959	1	1
4	62	1	52	0	m	n	25	left	left	1.11400008202	1	1
4	63	1	53	0	f	n	32	right	left	1.9319999218	1	0
4	64	1	54	0	f	n	56	left	left	1.28700017929	2	1
4	65	1	55	0	f	n	04	left	left	6.10899996758	1	NA
4	66	1	56	0	f	n	08	left	left	1.88300013542	2	1
4	67	1	57	0	f	n	04	right	left	1.17999982834	1	0
4	68	1	58	0	f	n	58	left	left	0.917999982834	2	1
4	69	1	59	0	m	n	36	right	right	1.27399992943	1	1
4	70	1	60	0	f	n	18	right	right	1.17599987984	2	1
4	71	1	61	0	m	n	23	right	right	1.22900009155	1	1
4	72	1	62	0	f	n	37	right	left	1.44900012016	2	1
4	73	1	63	0	f	n	12	left	left	1.19900012016	1	0
4	74	1	64	0	m	n	07	left	right	2.69600009918	1	1
4	75	1	65	0	m	n	24	left	left	1.20399999619	1	1
4	76	1	66	0	f	n	01	left	left	0.971999883652	2	1
4	77	1	67	0	f	n	16	right	right	1.1130001545	2	1
4	78	1	68	0	m	n	20	right	left	3.46000003815	3	NA
4	79	1	69	0	f	n	12	left	right	2.89499998093	2	1
4	80	1	70	0	f	n	37	right	right	2.3140001297	2	1
4	81	2	1	0	f	n	58	right	left	2.75	2	1
4	82	2	2	0	f	n	14	left	left	1.15300011635	1	0
4	83	2	3	0	f	n	37	right	right	1.24199986458	1	0
4	84	2	4	0	f	n	32	right	right	1.57999992371	2	1
4	85	2	5	0	m	n	10	left	left	1.37299990654	1	1
4	86	2	6	0	m	n	05	right	right	1.93099999428	1	1
4	87	2	7	0	m	n	49	left	right	1.7539999485	1	1
4	88	2	8	0	f	n	14	left	left	1.21700000763	1	0
4	89	2	9	0	m	n	21	left	right	3.28000020981	2	0
4	90	2	10	0	m	n	07	right	left	1.33599996567	1	1
4	91	2	11	1	m	n	47	left	left	2.96300005913	2	NA
4	92	2	12	0	m	n	71	right	right	1.83899998665	1	1
4	93	2	13	0	f	n	01	right	right	1.48399996758	1	0
4	94	2	14	0	f	n	37	right	right	1.99500012398	1	0
4	95	2	15	0	f	n	31	left	right	6.12400007248	2	1
4	96	2	16	0	m	n	47	right	right	1.10599994659	1	1
4	97	2	17	0	m	n	07	left	left	1.0	1	1
4	98	2	18	0	f	n	19	right	left	1.19600009918	2	1
4	99	2	19	0	f	n	18	left	left	6.37700009346	3	NA
4	100	2	20	0	m	n	05	right	right	1.09799981117	1	1
4	101	2	21	0	f	n	02	left	left	1.75300002098	2	1
4	102	2	22	0	f	n	04	right	right	2.01300001144	2	1
4	103	2	23	0	m	n	33	right	right	0.908999919891	1	1
4	104	2	24	0	f	n	31	right	right	5.40599989891	2	NA
4	105	2	25	0	f	n	19	right	right	3.62900018692	2	1
4	106	2	26	0	m	n	28	right	right	0.93499994278	1	1
4	107	2	27	0	m	n	05	right	right	0.891000032425	1	1
4	108	2	28	0	m	n	49	right	right	0.90700006485	1	1
4	109	2	29	0	m	n	10	left	left	1.22800016403	2	0
4	110	2	30	0	f	n	08	right	right	1.11500000954	2	1
4	111	2	31	0	f	n	22	right	right	1.47899985313	1	0
4	112	2	32	0	f	n	14	left	left	1.21799993515	1	0
4	113	2	33	0	m	n	46	right	left	2.61800003052	1	1
4	114	2	34	0	f	n	08	left	left	1.11599993706	1	0
4	115	2	35	0	m	n	07	left	left	0.969000101089	1	1
4	116	2	36	0	f	n	31	left	left	1.56500005722	1	0
4	117	2	37	0	m	n	47	left	left	0.946000099182	1	1
4	118	2	38	0	m	n	23	left	left	0.90900015831	2	0
4	119	2	39	0	m	n	21	left	left	1.0720000267	2	0
4	120	2	40	0	m	n	33	right	right	0.924999952316	1	1
4	121	2	41	0	m	n	36	right	left	3.80199980736	2	NA
4	122	2	42	0	m	n	47	left	right	3.39399981499	1	1
4	123	2	43	0	f	n	26	right	right	4.40000009537	2	1
4	124	2	44	0	m	n	21	left	left	1.18300008774	1	1
4	125	2	45	0	f	n	32	right	left	2.44400000572	1	NA
4	126	2	46	0	f	n	16	left	left	1.6890001297	2	1
4	127	2	47	0	m	n	33	left	left	0.957000017166	1	1
4	128	2	48	0	f	n	04	right	right	0.893000125885	2	1
4	129	2	49	0	f	n	31	left	right	1.72499990463	2	1
4	130	2	50	0	m	n	49	left	left	1.86599993706	1	1
4	131	2	51	0	f	n	31	left	left	1.05200004578	2	1
4	132	2	52	0	f	n	58	left	left	1.06299996376	2	1
4	133	2	53	0	m	n	28	left	left	1.382999897	1	1
4	134	2	54	0	f	n	01	left	left	1.43700003624	2	1
4	135	2	55	0	f	n	08	left	left	1.0680000782	2	1
4	136	2	56	0	m	n	20	right	right	2.91700005531	1	NA
4	137	2	57	0	m	n	36	left	right	3.6099998951	2	NA
4	138	2	58	0	m	n	24	right	left	1.23600006104	1	1
4	139	2	59	0	m	n	21	left	left	1.21599984169	1	1
4	140	2	60	0	f	n	26	right	right	1.24800014496	2	1
